minute,reserve0,reserve1
2025-01-01 05:10:00.000 UTC,23425293233805,7008750324932442656794
2025-01-01 05:11:00.000 UTC,23425693233805,7008631007662090534953
2025-01-01 05:13:00.000 UTC,23426093233805,7008511694460305864300
2025-01-01 05:14:00.000 UTC,23427101246710,7008211042946809667111
2025-01-01 05:15:00.000 UTC,23426841172799,7008289078959373023982
2025-01-01 05:16:00.000 UTC,23426901825223,7008270988879941148191
2025-01-01 05:18:00.000 UTC,23427151000746,7008196671231341370832
2025-01-01 05:19:00.000 UTC,23427213000746,7008178179715834975712
2025-01-01 05:20:00.000 UTC,23427206687939,7008180073855697972964
2025-01-01 05:23:00.000 UTC,23427388879789,7008125753510178197062
2025-01-01 05:25:00.000 UTC,23427327233471,7008144250077106725651
2025-01-01 05:27:00.000 UTC,23427366020921,7008132681872569234737
2025-01-01 05:28:00.000 UTC,23434713126926,7005942399550382644170
2025-01-01 05:29:00.000 UTC,23434573573609,7005984245604741163050
2025-01-01 05:31:00.000 UTC,23441891964999,7003803912953322787569
2025-01-01 05:32:00.000 UTC,23441441481112,7003938912953322787569
2025-01-01 05:33:00.000 UTC,23441965271149,7003783830324403890625
2025-01-01 05:34:00.000 UTC,23441915216229,7003798830324403890625
2025-01-01 05:35:00.000 UTC,23440948553011,7004088523668583261902
2025-01-01 05:36:00.000 UTC,23440906510517,7004101123668583261902
2025-01-01 05:39:00.000 UTC,23441805255260,7003833398457643199506
2025-01-01 05:40:00.000 UTC,23441156394691,7004027850719587821675
2025-01-01 05:41:00.000 UTC,23441100918277,7004044476539988024186
2025-01-01 05:42:00.000 UTC,23441599887406,7003895838315410604637
2025-01-01 05:44:00.000 UTC,23440736320885,7004154641182128483036
2025-01-01 05:45:00.000 UTC,23440207209924,7004313220257152186310
2025-01-01 05:46:00.000 UTC,23438776806483,7004741960256770885789
2025-01-01 05:48:00.000 UTC,23438621693660,7004788455938305520816
2025-01-01 05:51:00.000 UTC,23438173390865,7004922839933922877896
2025-01-01 05:52:00.000 UTC,23438613095210,7004793278111001805570
2025-01-01 05:54:00.000 UTC,23436469448624,7005435908402550857445
2025-01-01 05:55:00.000 UTC,23433509277112,7006323872303344157501
2025-01-01 05:56:00.000 UTC,23433559277112,7006308967813456821899
2025-01-01 05:57:00.000 UTC,23433540732219,7006314529167685753643
2025-01-01 05:58:00.000 UTC,23433140183133,7006434650387244071465
2025-01-01 05:59:00.000 UTC,23433124369557,7006439392826948728246
2025-01-01 06:01:00.000 UTC,23432974286302,7006484582292213649742
2025-01-01 06:02:00.000 UTC,23432966727936,7006486849052890564974
2025-01-01 06:04:00.000 UTC,23432930480479,7006498199724263578014
2025-01-01 06:05:00.000 UTC,23429264154226,7007597910103830456386
2025-01-01 06:06:00.000 UTC,23428303024165,7007886257044282973626
2025-01-01 06:07:00.000 UTC,23423248322962,7009403098725494929447
2025-01-01 06:12:00.000 UTC,23421830282440,7009828963388367640703
2025-01-01 06:13:00.000 UTC,23421965602440,7009788585719917263783
2025-01-01 06:14:00.000 UTC,23421982588042,7009783555608954216420
2025-01-01 06:15:00.000 UTC,23420896024877,7010109763361589139969
2025-01-01 06:17:00.000 UTC,23417053002087,7011263669229324314184
2025-01-01 06:18:00.000 UTC,23417180808473,7011225557852428795445
2025-01-01 06:19:00.000 UTC,23417246452341,7011205962754519416802
2025-01-01 06:22:00.000 UTC,23417108429154,7011247411973499385004
2025-01-01 06:23:00.000 UTC,23416975247039,7011287407852482796219
2025-01-01 06:26:00.000 UTC,23417138427039,7011238696964900368033
2025-01-01 06:27:00.000 UTC,23417105127854,7011248696964900368033
2025-01-01 06:29:00.000 UTC,23417118576406,7011244682454357013099
2025-01-01 06:31:00.000 UTC,23369867408263,7025498632908359366901
2025-01-01 06:32:00.000 UTC,23372117089488,7024824422637136372542
2025-01-01 06:33:00.000 UTC,23372619874476,7024673760000094727985
2025-01-01 06:34:00.000 UTC,23372769195123,7024629016390314147757
2025-01-01 06:35:00.000 UTC,23373052423847,7024544172665410953270
2025-01-01 06:36:00.000 UTC,23373341235617,7024457654759704817093
2025-01-01 06:37:00.000 UTC,23368328735617,7025968932802751959229
2025-01-01 06:38:00.000 UTC,23376626639729,7023482448982851665188
2025-01-01 06:39:00.000 UTC,23376617665046,7023485153531657097642
2025-01-01 06:40:00.000 UTC,23376614715248,7023486042463011363450
2025-01-01 06:41:00.000 UTC,23376659996301,7023472478645391304724
2025-01-01 06:42:00.000 UTC,23376701823150,7023459949571895846799
2025-01-01 06:43:00.000 UTC,23376698836601,7023460849571895846799
2025-01-01 06:44:00.000 UTC,23379752542156,7022546244285817472009
2025-01-01 06:45:00.000 UTC,23380752542156,7022246789446145666715
2025-01-01 06:46:00.000 UTC,23380780403824,7022238524813703340917
2025-01-01 06:47:00.000 UTC,23381580403824,7021998979927277138625
2025-01-01 06:48:00.000 UTC,23382844325441,7021620555840381802097
2025-01-01 06:49:00.000 UTC,23382633318819,7021684507113123460763
2025-01-01 06:50:00.000 UTC,23382933318819,7021594690070570351886
2025-01-01 06:51:00.000 UTC,23383493900967,7021427852652882711342
2025-01-01 06:52:00.000 UTC,23383524590967,7021418664937919312336
2025-01-01 06:53:00.000 UTC,23383651638815,7021380971198207097230
